Occupancy,Flood,Age
1.200,0.000,0.626
1.200,0.000,0.628
1.200,0.000,0.637
1.200,0.000,0.591
1.200,0.000,0.597
1.200,0.000,0.603
1.200,0.000,0.606
1.200,0.000,0.550
1.200,0.000,0.553
1.200,0.000,0.556
1.200,0.000,0.562
1.200,0.000,0.565
1.200,0.000,0.570
1.200,0.000,0.573
1.200,0.000,0.579
1.200,0.000,0.582
1.200,0.000,0.579
1.200,0.000,0.582
1.200,0.000,0.587
1.200,0.000,0.590
1.200,0.000,0.596
1.200,0.000,0.598
1.200,0.000,0.604
1.200,0.000,0.542
1.200,0.000,0.546
1.200,0.000,0.549
1.200,0.000,0.551
1.200,0.000,0.556
1.200,0.000,0.559
1.200,0.000,0.561
1.200,0.000,0.535
1.200,0.000,0.538
1.200,0.000,0.540
1.200,0.000,0.542
1.200,0.000,0.548
1.200,0.000,0.550
1.200,0.000,0.552
1.200,0.000,0.558
1.200,0.000,0.538
1.200,0.000,0.540
1.200,0.000,0.546
1.200,0.000,0.548
1.200,0.000,0.551
1.200,0.000,0.553
1.200,0.000,0.559
1.200,0.000,0.546
1.200,0.000,0.551
1.200,0.000,0.553
1.200,0.000,0.555
1.200,0.000,0.560
1.200,0.000,0.562
1.200,0.000,0.568
1.200,0.000,0.559
1.200,0.000,0.561
1.200,0.000,0.500
1.200,0.000,0.508
1.200,0.000,0.510
1.200,0.000,0.515
1.200,0.000,0.518
1.200,0.000,0.523
1.200,0.000,0.525
1.200,0.000,0.530
1.200,0.000,0.535
1.200,0.000,0.512
1.200,0.000,0.514
1.200,0.000,0.520
1.200,0.000,0.525
1.200,0.000,0.528
1.200,0.000,0.534
1.200,0.000,0.536
1.200,0.000,0.542
1.200,0.000,0.515
1.200,0.000,0.517
1.200,0.000,0.522
1.200,0.000,0.516
1.200,0.000,0.518
1.200,0.000,0.523
1.200,0.000,0.519
1.200,0.000,0.525
1.200,0.000,0.527
1.200,0.000,0.529
1.200,0.000,0.534
1.200,0.000,0.539
1.200,0.000,0.542
1.200,0.000,0.406
1.200,0.000,0.409
1.200,0.000,0.414
1.200,0.000,0.419
1.200,0.000,0.421
1.200,0.000,0.427
1.200,0.000,0.427
1.200,0.000,0.433
1.200,0.000,0.435
1.200,0.000,0.440
1.200,0.000,0.445
1.200,0.000,0.420
1.200,0.000,0.425
1.200,0.000,0.430
1.200,0.000,0.432
1.200,0.000,0.438
1.200,0.000,0.440
1.200,0.000,0.445
1.200,0.000,0.448
1.200,0.000,0.453
1.200,0.000,0.458
1.200,0.000,0.368
1.200,0.000,0.373
1.200,0.000,0.375
1.200,0.000,0.380
1.200,0.000,0.379
1.200,0.000,0.381
1.200,0.000,0.383
1.200,0.000,0.388
1.200,0.000,0.390
1.200,0.000,0.395
1.200,0.000,0.398
1.200,0.000,0.307
1.200,0.000,0.309
1.200,0.000,0.315
1.200,0.000,0.319
1.200,0.000,0.324
1.200,0.000,0.326
1.200,0.000,0.321
1.200,0.000,0.326
1.200,0.000,0.331
1.200,0.000,0.333
1.200,0.000,0.338
1.200,0.000,0.343
1.200,0.000,0.346
1.200,0.000,0.351
1.200,0.000,0.356
1.200,0.000,0.361
1.200,0.000,0.366
1.200,0.000,0.360
1.200,0.000,0.351
1.200,0.000,0.360
