State_Index,Mac_Bin,Flood_Bin,Age_Bin,Mac_Range,Flood_Range,Age_Range,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Best_Action
119,1,6,7,0.12-0.25,0.75-0.88,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
120,1,7,0,0.12-0.25,0.88-1.00,0.00-0.12,0.0,0.0,0.0,0.0,EVICT
121,1,7,1,0.12-0.25,0.88-1.00,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
122,1,7,2,0.12-0.25,0.88-1.00,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
123,1,7,3,0.12-0.25,0.88-1.00,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
124,1,7,4,0.12-0.25,0.88-1.00,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
125,1,7,5,0.12-0.25,0.88-1.00,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
126,1,7,6,0.12-0.25,0.88-1.00,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
127,1,7,7,0.12-0.25,0.88-1.00,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
128,2,0,0,0.25-0.38,0.00-0.12,0.00-0.12,-2.3036,-2.2625,-2.0994,-2.4009,DEC_AGE
129,2,0,1,0.25-0.38,0.00-0.12,0.12-0.25,-0.5144,-0.6827,-0.4317,-0.4504,DEC_AGE
130,2,0,2,0.25-0.38,0.00-0.12,0.25-0.38,-1.1254,-0.3929,-0.4487,-0.7365,INC_AGE
131,2,0,3,0.25-0.38,0.00-0.12,0.38-0.50,0.0718,0.4324,0.1199,0.3763,INC_AGE
132,2,0,4,0.25-0.38,0.00-0.12,0.50-0.62,-0.3717,0.9006,-0.2429,-0.0208,INC_AGE
133,2,0,5,0.25-0.38,0.00-0.12,0.62-0.75,-0.005,0.3326,0.0,0.0,INC_AGE
134,2,0,6,0.25-0.38,0.00-0.12,0.75-0.88,0.0369,0.0,-0.0062,0.0108,EVICT
135,2,0,7,0.25-0.38,0.00-0.12,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
136,2,1,0,0.25-0.38,0.12-0.25,0.00-0.12,-0.4798,-0.4788,-0.5874,-0.4652,REBALANCE
137,2,1,1,0.25-0.38,0.12-0.25,0.12-0.25,-0.0444,-0.0492,-0.041,-0.0234,REBALANCE
138,2,1,2,0.25-0.38,0.12-0.25,0.25-0.38,0.0834,0.0,0.0,0.0,EVICT
139,2,1,3,0.25-0.38,0.12-0.25,0.38-0.50,0.1586,0.0,0.0,0.0,EVICT
140,2,1,4,0.25-0.38,0.12-0.25,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
141,2,1,5,0.25-0.38,0.12-0.25,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
142,2,1,6,0.25-0.38,0.12-0.25,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
143,2,1,7,0.25-0.38,0.12-0.25,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
144,2,2,0,0.25-0.38,0.25-0.38,0.00-0.12,-0.237,-0.2446,-0.2029,-0.1698,REBALANCE
145,2,2,1,0.25-0.38,0.25-0.38,0.12-0.25,-0.0169,-0.0819,-0.0283,-0.0253,EVICT
146,2,2,2,0.25-0.38,0.25-0.38,0.25-0.38,0.0,-0.0068,0.0,0.024,REBALANCE
147,2,2,3,0.25-0.38,0.25-0.38,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
148,2,2,4,0.25-0.38,0.25-0.38,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
149,2,2,5,0.25-0.38,0.25-0.38,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
